feature	edgeR:P	voom:adjP	DESeq2:score
ENSG00000058673	0.724234062	0.827069985	0.09836089
ENSG00000058799	0.00343745	0.013598159	0.371540026
ENSG00000058804	6.32E-46	1.45E-13	2.288216502
ENSG00000059588	0.61483619	0.780926117	0.023686514
ENSG00000060642	1.63E-33	4.48E-12	2.152401131
ENSG00000060656	0.039512406	0.050299912	0.256340742
ENSG00000060688	0.043744216	0.092827192	0.343838699
ENSG00000060718	0.269835537	0.834699461	0.652979921
ENSG00000064703	0.02469347	0.041756306	0.350435246
ENSG00000064886	0.992980719	0.989241233	0.047533849
ENSG00000065135	2.01E-171	4.96E-16	7.780217834
ENSG00000065183	9.29E-23	3.60E-09	1.829823012
ENSG00000065243	0.915689254	0.753988981	0.067287209
ENSG00000065526	2.90E-68	6.50E-15	5.945431987
ENSG00000065600	0.079281977	0.099790946	0.371535041
ENSG00000065978	0.984746345	0.84783987	0.053359862
ENSG00000066027	0.820445652	0.795861189	0.09623629
ENSG00000066056	0.002521851	0.004345522	0.494292671
ENSG00000066135	0.857222736	0.896890278	0.02057857
ENSG00000066136	2.29E-46	2.04E-14	1.784012587
ENSG00000066185	6.65E-25	1.13E-09	2.353325324
ENSG00000066279	0.943037988	0.899380701	0.059752552
ENSG00000066294	2.41E-08	4.28E-05	0.918097474
ENSG00000066322	0.308709427	0.468667902	0.218507974
ENSG00000066557	1.16E-16	7.96E-09	1.556599863
ENSG00000067208	0.003326026	0.029609825	0.567349152
ENSG00000067334	7.01E-34	4.10E-11	2.382932774
ENSG00000067533	2.06E-20	4.96E-07	2.584421233
ENSG00000067606	1.77E-13	2.25E-08	1.014036652
ENSG00000067704	0.215019432	0.347895114	0.24857515
ENSG00000069248	0.250340958	0.498571202	0.319053421
ENSG00000069275	1.62E-18	6.54E-07	3.795696181
ENSG00000069424	0.562332553	0.645653342	0.130130859
ENSG00000069702	0.005151173	0.041628861	0.694347667
ENSG00000069712	0.597075236	0.62051451	0.063103894
ENSG00000069812	0.393833579	0.531464623	0.264146615
ENSG00000070759	6.53E-20	8.66E-09	2.613844947
ENSG00000070785	0.009966135	0.023814919	0.348694482
ENSG00000070831	0.706344315	0.796841424	0.060826732
ENSG00000072694	0.000705274	0.007340328	0.510913967
ENSG00000073754	1.67E-06	7.45E-05	2.322032678
ENSG00000073756	0.059033144	0.097803177	0.366150054
ENSG00000074800	0.60274986	0.916723677	0.154820243
ENSG00000074964	1.18E-32	1.09E-10	2.030313742
ENSG00000075151	0.442542781	0.566977243	0.153259031
ENSG00000075391	0.27863039	0.450497027	0.198966856
ENSG00000075945	5.72E-93	3.61E-14	4.870261345
ENSG00000076258	6.37E-19	7.30E-08	3.601617816
ENSG00000076321	0.267722255	0.373759362	0.219558352
ENSG00000076356	0.942823021	0.970619842	0.058504877
ENSG00000076864	0.685509517	0.748805624	0.105270106
ENSG00000077152	5.56E-07	1.16E-05	1.2514385
ENSG00000077157	4.66E-29	1.57E-11	1.687295498
ENSG00000077254	3.08E-268	8.75E-20	6.926992988
ENSG00000077522	5.09E-05	7.19E-06	2.435910847
ENSG00000077549	0.38167445	0.548630848	0.187639811
